Match ID,Map name,Map Image URL,Mode,Match duration (milliseconds),Match duration,Kills,XP at end,EKIA Ratio,Rank at end,Accuracy,Shots Landed,Highest Multikill,EKIA,Score,Headshots,Assists,Score per minute,Deaths,Damage dealt,KD Ratio,Shots Missed,Multi Kills,Highest Streak,Hits,Time played,Suicides,Time played alive,Objectives,Shots,Shots fired
18331937159258082040,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,689000,11m 29s,20.0,0,1.5333333333333334,0,25.37313432835821,85.0,0.0,23.0,2185.0,5.0,3.0,174.10358565737053,15.0,3325.0,1.3333333333333333,250.0,0.0,4.0,85.0,753.0,1.0,602.0,7.0,0.0,335.0
3400166886779367914,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Domination,656000,10m 56s,22.0,0,1.3333333333333333,0,32.537313432835816,109.0,2.0,24.0,2825.0,5.0,6.0,238.39662447257382,18.0,4361.0,1.2222222222222223,226.0,3.0,5.0,109.0,711.0,0.0,568.0,13.0,0.0,335.0
7391088778916944816,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Combined Arms: Assault,942000,15m 42s,17.0,0,1.3846153846153846,0,32.91139240506329,26.0,2.0,18.0,1935.0,8.0,1.0,115.40755467196819,13.0,2987.0,1.3076923076923077,53.0,1.0,4.0,31.0,1006.0,1.0,854.0,3.0,0.0,79.0
1558068428853509586,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Domination,697000,11m 37s,17.0,0,1.8181818181818181,0,23.170731707317074,76.0,2.0,20.0,2020.0,8.0,5.0,156.18556701030928,11.0,3190.0,1.5454545454545454,252.0,1.0,4.0,76.0,776.0,0.0,627.0,12.0,0.0,328.0
18327402180014191131,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,742000,12m 22s,40.0,0,3.230769230769231,0,30.501930501930502,79.0,2.0,42.0,8775.0,8.0,2.0,645.2205882352941,13.0,6434.0,3.076923076923077,180.0,2.0,12.0,79.0,816.0,0.0,666.0,11.0,0.0,259.0
14241795036118342782,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Domination,662000,11m 02s,21.0,0,2.090909090909091,0,28.02547770700637,88.0,2.0,23.0,3725.0,7.0,2.0,304.91132332878584,11.0,3284.0,1.9090909090909092,226.0,1.0,9.0,102.0,733.0,0.0,605.0,4.0,0.0,314.0
15314121533396126239,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,707000,11m 47s,2.0,0,0.4,0,19.718309859154928,14.0,0.0,2.0,200.0,1.0,2.0,65.93406593406594,5.0,510.0,0.4,57.0,0.0,1.0,14.0,182.0,0.0,147.0,0.0,0.0,71.0
16166885216582323883,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,653000,10m 53s,13.0,0,0.6666666666666666,0,21.38728323699422,74.0,2.0,14.0,1700.0,5.0,2.0,145.2991452991453,21.0,2490.0,0.6190476190476191,272.0,1.0,4.0,74.0,702.0,1.0,564.0,4.0,0.0,346.0
7585039821518329136,Checkmate,https://www.callofduty.com/cdn/app/base-maps/cw/mp_kgb.jpg,Domination,590000,09m 50s,13.0,0,1.4,0,23.628691983122362,56.0,0.0,14.0,1175.0,3.0,1.0,108.62865947611711,10.0,2166.0,1.3,181.0,0.0,4.0,60.0,649.0,0.0,535.0,2.0,0.0,237.0
1556282473860454166,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Domination,707000,11m 47s,27.0,0,1.1666666666666667,0,22.63814616755793,127.0,2.0,28.0,2425.0,4.0,1.0,188.22768434670115,24.0,4507.0,1.125,434.0,1.0,3.0,132.0,773.0,0.0,611.0,12.0,0.0,561.0
7751830371633359714,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,586000,09m 46s,46.0,0,5.666666666666667,0,29.750479846449135,155.0,3.0,51.0,8325.0,4.0,5.0,782.9153605015674,9.0,7614.0,5.111111111111111,366.0,6.0,8.0,155.0,638.0,0.0,526.0,15.0,0.0,521.0
